epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2389.27,1.64421,1.15917,0.93658,0.55911,0.49604,0.52673,0.34736,1.60445,1.15208,0.93299,0.000370675,0.000370675,0.000370675
58,2420.14,1.63222,1.16844,0.93314,0.59768,0.51401,0.55181,0.37342,1.59586,1.11945,0.93141,0.000366794,0.000366794,0.000366794
59,2448.17,1.63271,1.14896,0.93356,0.63913,0.47446,0.53649,0.36352,1.61182,1.15945,0.93185,0.000362914,0.000362914,0.000362914
60,2592.85,1.60971,1.13467,0.92912,0.63909,0.4947,0.54044,0.3499,1.65804,1.13414,0.93992,0.000359033,0.000359033,0.000359033
61,2622.68,1.6177,1.14364,0.93262,0.63578,0.483,0.54699,0.3692,1.59495,1.12159,0.93098,0.000355152,0.000355152,0.000355152
62,2659.63,1.61393,1.12035,0.92922,0.66665,0.51383,0.56926,0.37624,1.63909,1.10586,0.93903,0.000351271,0.000351271,0.000351271
63,2687.98,1.58455,1.09973,0.92593,0.6713,0.49981,0.57303,0.38221,1.59067,1.10139,0.93065,0.00034739,0.00034739,0.00034739
64,2715.44,1.60392,1.11005,0.92542,0.64587,0.51095,0.55945,0.37375,1.5861,1.09859,0.92689,0.00034351,0.00034351,0.00034351
65,2742.78,1.62171,1.12725,0.92541,0.60273,0.5492,0.57641,0.39447,1.55605,1.07475,0.92442,0.000339629,0.000339629,0.000339629
66,2788.44,1.58599,1.09508,0.92584,0.6669,0.51564,0.57568,0.37868,1.6327,1.10848,0.93464,0.000335748,0.000335748,0.000335748
67,2835.79,1.5986,1.10736,0.92997,0.68203,0.50763,0.57864,0.39108,1.57939,1.0806,0.92524,0.000331867,0.000331867,0.000331867
68,2863.83,1.58952,1.09323,0.92266,0.61129,0.52041,0.56264,0.38229,1.56168,1.08482,0.9235,0.000327986,0.000327986,0.000327986
69,2890.87,1.58881,1.09149,0.92728,0.66368,0.50268,0.56695,0.38038,1.59039,1.08248,0.92556,0.000324106,0.000324106,0.000324106
70,2926.98,1.59893,1.096,0.92794,0.63548,0.52626,0.57377,0.37781,1.59528,1.09747,0.92725,0.000320225,0.000320225,0.000320225
71,2958.39,1.5676,1.08033,0.91953,0.72179,0.49687,0.56704,0.37781,1.57057,1.07491,0.92137,0.000316344,0.000316344,0.000316344
72,2995.51,1.58356,1.08591,0.92138,0.66315,0.51809,0.58834,0.39191,1.57828,1.05301,0.92434,0.000312463,0.000312463,0.000312463
73,3022.82,1.58702,1.07951,0.92036,0.65065,0.52828,0.58655,0.39167,1.56548,1.08355,0.92415,0.000308582,0.000308582,0.000308582
74,3062.47,1.57948,1.08403,0.91927,0.65896,0.53277,0.59006,0.39181,1.56432,1.05368,0.92309,0.000304702,0.000304702,0.000304702
75,3167.85,1.55053,1.05518,0.91922,0.67869,0.51925,0.57984,0.39108,1.57535,1.06511,0.9229,0.000300821,0.000300821,0.000300821
76,3199.65,1.57025,1.07026,0.91915,0.68349,0.52662,0.59159,0.39235,1.56435,1.06428,0.9214,0.00029694,0.00029694,0.00029694
77,3235.66,1.58733,1.07158,0.91953,0.71992,0.5284,0.59702,0.40193,1.54858,1.06022,0.92035,0.000293059,0.000293059,0.000293059
78,3285.23,1.57953,1.07231,0.92157,0.69078,0.52816,0.58514,0.39318,1.60532,1.06997,0.92703,0.000289178,0.000289178,0.000289178
79,3368.3,1.57246,1.0622,0.91826,0.62247,0.55079,0.59014,0.39565,1.55751,1.05692,0.91702,0.000285298,0.000285298,0.000285298
80,3399.54,1.53306,1.03774,0.9156,0.67817,0.53976,0.6052,0.41226,1.55795,1.03087,0.92016,0.000281417,0.000281417,0.000281417
81,3429.37,1.5634,1.04874,0.91916,0.63837,0.54562,0.5975,0.41029,1.53563,1.04679,0.91786,0.000277536,0.000277536,0.000277536
82,3459.65,1.5648,1.04573,0.91921,0.68698,0.54226,0.60367,0.39555,1.59535,1.04199,0.92685,0.000273655,0.000273655,0.000273655
83,3487.73,1.56131,1.03824,0.91255,0.71403,0.5294,0.60537,0.4119,1.52439,1.03264,0.91546,0.000269774,0.000269774,0.000269774
84,3531.31,1.5346,1.0391,0.91539,0.69956,0.53937,0.60233,0.41159,1.54052,1.03471,0.91678,0.000265894,0.000265894,0.000265894
85,3568.68,1.57831,1.05336,0.9163,0.65955,0.54893,0.59696,0.40353,1.58521,1.07063,0.92275,0.000262013,0.000262013,0.000262013
86,3603.18,1.52842,1.03145,0.91726,0.7059,0.52615,0.60408,0.41446,1.52987,1.04812,0.91746,0.000258132,0.000258132,0.000258132
87,3639,1.53552,1.02769,0.91644,0.66367,0.54329,0.60197,0.40749,1.54709,1.03655,0.9171,0.000254251,0.000254251,0.000254251
88,3682.47,1.56132,1.04698,0.91469,0.68743,0.55011,0.61444,0.41353,1.57142,1.01523,0.92035,0.00025037,0.00025037,0.00025037
89,3712.12,1.53127,1.03249,0.91362,0.66534,0.56587,0.6136,0.42159,1.52825,1.01897,0.91388,0.00024649,0.00024649,0.00024649
90,3738.71,1.53309,1.00719,0.91224,0.67014,0.53551,0.59195,0.39114,1.56617,1.03828,0.924,0.000242609,0.000242609,0.000242609
91,3784.44,1.53951,1.02774,0.91211,0.68057,0.56981,0.62098,0.42751,1.50982,0.99361,0.91005,0.000238728,0.000238728,0.000238728
92,3811.84,1.51186,1.00604,0.9094,0.70456,0.5401,0.61382,0.42293,1.51701,1.00424,0.91186,0.000234847,0.000234847,0.000234847
93,3840.04,1.51178,1.00068,0.90702,0.66347,0.56037,0.61168,0.40936,1.54346,1.01719,0.91582,0.000230966,0.000230966,0.000230966
94,3875.04,1.53632,1.01881,0.91137,0.69228,0.5542,0.62024,0.42315,1.52129,1.01382,0.9133,0.000227086,0.000227086,0.000227086
95,3905.13,1.52044,1.00137,0.9091,0.67728,0.57449,0.63279,0.43137,1.51941,0.98474,0.91012,0.000223205,0.000223205,0.000223205
96,3944.08,1.52098,1.00467,0.91048,0.74054,0.52949,0.61576,0.4183,1.5149,1.0105,0.91125,0.000219324,0.000219324,0.000219324
97,3977.17,1.48854,0.98439,0.91016,0.70289,0.55226,0.62727,0.42876,1.52547,1.00707,0.91338,0.000215443,0.000215443,0.000215443
98,4011.72,1.49514,0.99163,0.90482,0.71212,0.54329,0.62616,0.4285,1.50122,0.9976,0.90961,0.000211562,0.000211562,0.000211562
99,4053.37,1.52302,1.01254,0.91356,0.6836,0.56248,0.62738,0.42435,1.54235,1.00278,0.9159,0.000207682,0.000207682,0.000207682
100,4095.5,1.53464,1.00669,0.90502,0.72424,0.55388,0.62608,0.423,1.51901,0.9863,0.91223,0.000203801,0.000203801,0.000203801
101,4130.08,1.4968,0.98721,0.90691,0.65893,0.58719,0.63413,0.43534,1.50738,0.96955,0.90921,0.00019992,0.00019992,0.00019992
102,4157.51,1.52203,1.00039,0.90577,0.75219,0.54602,0.63154,0.43127,1.49348,0.97964,0.90865,0.000196039,0.000196039,0.000196039
103,4197.1,1.47094,0.97247,0.90073,0.72144,0.56087,0.63429,0.43713,1.515,0.97019,0.91255,0.000192158,0.000192158,0.000192158
104,4224.61,1.49428,0.9843,0.90002,0.73381,0.55358,0.63302,0.43476,1.48863,0.99245,0.90776,0.000188278,0.000188278,0.000188278
105,4259.73,1.50283,0.97605,0.8973,0.75985,0.54585,0.62481,0.42193,1.55231,0.98728,0.91372,0.000184397,0.000184397,0.000184397
106,4293.05,1.47835,0.9777,0.89985,0.76934,0.55151,0.63368,0.42881,1.51057,1.00551,0.90984,0.000180516,0.000180516,0.000180516
107,4345.37,1.50426,0.98032,0.90439,0.78319,0.54734,0.63923,0.44665,1.48872,0.97035,0.9058,0.000176635,0.000176635,0.000176635
108,4400.07,1.5076,0.98439,0.90703,0.75586,0.55194,0.63091,0.43388,1.51093,0.9764,0.90846,0.000172754,0.000172754,0.000172754
109,4485.35,1.50749,0.98643,0.90344,0.70973,0.57669,0.63914,0.43708,1.51441,0.98697,0.90994,0.000168874,0.000168874,0.000168874
110,4515.58,1.48589,0.96572,0.90404,0.69841,0.57196,0.63928,0.43482,1.50528,0.96334,0.90915,0.000164993,0.000164993,0.000164993
111,4550.99,1.47563,0.96641,0.90629,0.76622,0.54983,0.63458,0.44407,1.49453,0.96449,0.90785,0.000161112,0.000161112,0.000161112
112,4578.12,1.48751,0.95939,0.90325,0.72445,0.56529,0.64094,0.43612,1.52141,0.96183,0.91244,0.000157231,0.000157231,0.000157231
113,4616.81,1.47607,0.96637,0.90051,0.73817,0.5813,0.64716,0.44525,1.48791,0.95903,0.90602,0.00015335,0.00015335,0.00015335
114,4644.06,1.4947,0.97048,0.9023,0.70669,0.57098,0.63526,0.43789,1.49971,0.95094,0.90798,0.00014947,0.00014947,0.00014947
115,4689.6,1.47031,0.95413,0.90392,0.71917,0.57986,0.64882,0.44396,1.51066,0.9563,0.91158,0.000145589,0.000145589,0.000145589
116,4737.31,1.4712,0.95156,0.90067,0.73987,0.57731,0.64984,0.4414,1.50951,0.95645,0.91229,0.000141708,0.000141708,0.000141708
117,4765.04,1.46296,0.95644,0.90107,0.71141,0.58099,0.6427,0.44291,1.48559,0.96678,0.90798,0.000137827,0.000137827,0.000137827
118,4813.77,1.47328,0.95535,0.89739,0.72421,0.56725,0.63737,0.44169,1.49292,0.96266,0.90768,0.000133946,0.000133946,0.000133946
119,4850.29,1.46422,0.95332,0.90011,0.73105,0.58524,0.64648,0.44715,1.49146,0.93766,0.90542,0.000130066,0.000130066,0.000130066
120,4878.12,1.47106,0.94565,0.89985,0.73716,0.5909,0.6537,0.45135,1.49048,0.9353,0.90571,0.000126185,0.000126185,0.000126185
121,4910.58,1.49011,0.96351,0.89881,0.7212,0.59066,0.65096,0.44342,1.49635,0.94889,0.90668,0.000122304,0.000122304,0.000122304
122,4948.27,1.45799,0.93816,0.89564,0.7598,0.58446,0.65565,0.44758,1.49387,0.9498,0.90676,0.000118423,0.000118423,0.000118423
123,4981.25,1.47264,0.95273,0.89973,0.7097,0.59212,0.65068,0.4526,1.47868,0.94196,0.90544,0.000114542,0.000114542,0.000114542
124,5075.37,1.46233,0.93804,0.8985,0.74133,0.56918,0.64739,0.44404,1.479,0.94182,0.90412,0.000110662,0.000110662,0.000110662
125,5130.89,1.45328,0.94609,0.89653,0.7565,0.56797,0.65008,0.45199,1.4678,0.94289,0.9013,0.000106781,0.000106781,0.000106781
126,5157.77,1.466,0.9461,0.89497,0.70814,0.59177,0.65383,0.45305,1.46969,0.93807,0.90238,0.0001029,0.0001029,0.0001029
127,5201.07,1.43556,0.9285,0.89349,0.74227,0.57844,0.65219,0.45087,1.4821,0.93552,0.90575,9.90192e-05,9.90192e-05,9.90192e-05
128,5233.34,1.45208,0.93907,0.89476,0.72575,0.57819,0.64732,0.44765,1.47714,0.92571,0.90404,9.51384e-05,9.51384e-05,9.51384e-05
129,5260.49,1.43433,0.92174,0.89788,0.71596,0.58762,0.64977,0.44824,1.47296,0.94206,0.90323,9.12576e-05,9.12576e-05,9.12576e-05
130,5306.74,1.45287,0.93976,0.89622,0.73067,0.58157,0.65177,0.45279,1.47651,0.92985,0.90389,8.73768e-05,8.73768e-05,8.73768e-05
131,5341.81,1.4514,0.93232,0.89268,0.75779,0.57537,0.64937,0.44938,1.47341,0.92993,0.90411,8.3496e-05,8.3496e-05,8.3496e-05
132,5382.42,1.43754,0.91944,0.89456,0.71532,0.5868,0.64835,0.44822,1.46835,0.93447,0.90157,7.96152e-05,7.96152e-05,7.96152e-05
133,5409.39,1.45222,0.93204,0.89548,0.72874,0.58498,0.65017,0.45583,1.46211,0.92385,0.90054,7.57344e-05,7.57344e-05,7.57344e-05
